id_usuario,fechas_de_nacimiento,ciudad,nivel_educativo,Sueldo
98376,1990-02-06 05:00:00,Santiago,Profesional - Licenciatura,278286
98377,1976-03-18 05:00:00,Santiago,Profesional - Licenciatura,284703
98378,1973-05-14 05:00:00,Santiago,Profesional - Licenciatura,217089
98379,1986-08-19 05:00:00,Santiago,Profesional - Licenciatura,157409
98380,1970-06-18 05:00:00,Santiago,Profesional - Licenciatura,230204
98381,1979-02-20 05:00:00,Santiago,Tecnico Universitario,306999
98384,1963-06-24 05:00:00,Santiago,Profesional - Licenciatura,334212
98386,1990-10-02 05:00:00,Santiago,Profesional - Licenciatura,323398
98387,1979-02-04 05:00:00,Santiago,Profesional - Licenciatura,315612
98388,1996-09-27 05:00:00,Santiago,Profesional - Licenciatura,189531
98389,1972-09-08 05:00:00,Santiago,Profesional - Licenciatura,264397
98391,1987-03-31 05:00:00,Santiago,Profesional - Licenciatura,349066
98392,1993-02-04 05:00:00,Santiago,Profesional - Licenciatura,176483
98393,1982-10-03 05:00:00,Santiago,Profesional - Licenciatura,121470
98394,1978-11-21 05:00:00,Santiago,Tecnico - Preparatoria - T. Profesional,303805
98395,1977-08-22 05:00:00,Santiago,Tecnico - Preparatoria - T. Profesional,189834
98398,1980-12-13 05:00:00,Santiago,Tecnico - Preparatoria - T. Profesional,105413
98399,1981-02-11 05:00:00,Santiago,Profesional - Licenciatura,260899
98401,1987-12-16 05:00:00,Santiago,Especializacion - Postgrado,76615
98402,1985-05-10 05:00:00,Santiago,Maestria,333970
98403,1982-06-17 05:00:00,Santiago,Profesional - Licenciatura,101983
98404,1982-04-15 05:00:00,Santiago,Profesional - Licenciatura,278036
98405,1990-05-18 05:00:00,Santiago,Profesional - Licenciatura,168189
98406,1972-11-01 05:00:00,Santiago,Tecnico Universitario,94278
98408,1988-09-01 05:00:00,Santiago,Profesional - Licenciatura,269473
98409,1990-05-04 05:00:00,Santiago,Profesional - Licenciatura,164947
98411,1978-11-10 05:00:00,Santiago,Profesional - Licenciatura,347914
98412,1993-09-23 05:00:00,Santiago,Maestria,348230
98413,1981-12-22 05:00:00,Santiago,Especializacion - Postgrado,257651
98414,1985-03-09 05:00:00,Santiago,Tecnico Universitario,292148
98415,1990-07-13 05:00:00,Santiago,Profesional - Licenciatura,267233
98416,1977-08-23 05:00:00,Santiago,Profesional - Licenciatura,302160
98417,1993-12-04 05:00:00,Santiago,Profesional - Licenciatura,319611
98418,1976-08-25 05:00:00,Santiago,Tecnico Universitario,78096
98422,1963-05-22 05:00:00,Santiago,Especializacion - Postgrado,222544
98423,1978-04-03 05:00:00,Santiago,Especializacion - Postgrado,169783
98424,1969-10-19 05:00:00,Santiago,Profesional - Licenciatura,244661
98426,1983-03-03 05:00:00,Santiago,Profesional - Licenciatura,344895
98427,1980-10-26 05:00:00,Santiago,Profesional - Licenciatura,325421
98428,1987-03-12 05:00:00,Santiago,Especializacion - Postgrado,80270
98429,1989-11-22 05:00:00,Santiago,Profesional - Licenciatura,209819
98430,1993-07-12 05:00:00,Santiago,Profesional - Licenciatura,324431
98432,1990-12-07 05:00:00,Santiago,Profesional - Licenciatura,183432
98433,1981-04-14 05:00:00,Santiago,Profesional - Licenciatura,317204
98436,1990-12-12 05:00:00,Santiago,Profesional - Licenciatura,296102
98440,1987-06-22 05:00:00,Santiago,Profesional - Licenciatura,148021
98441,1986-05-06 05:00:00,Santiago,Profesional - Licenciatura,289499
98443,1981-05-07 05:00:00,Santiago,Profesional - Licenciatura,150725
98444,1980-02-28 05:00:00,Santiago,Profesional - Licenciatura,312460
98445,1990-09-24 05:00:00,Santiago,Profesional - Licenciatura,283685
98446,1986-02-10 05:00:00,Santiago,Profesional - Licenciatura,164074
98447,1995-08-19 05:00:00,Santiago,Especializacion - Postgrado,249065
98448,1991-06-17 05:00:00,Santiago,Profesional - Licenciatura,174916
98449,1988-03-15 05:00:00,Santiago,Profesional - Licenciatura,345564
98450,1987-08-15 05:00:00,Santiago,Maestria,152191
98451,1979-08-22 05:00:00,Santiago,Profesional - Licenciatura,226107
98454,1987-11-27 05:00:00,Santiago,Profesional - Licenciatura,275184
98455,1983-10-19 05:00:00,Santiago,Profesional - Licenciatura,304331
98456,1994-06-16 05:00:00,Santiago,Profesional - Licenciatura,224635
98457,1980-02-11 05:00:00,Santiago,Profesional - Licenciatura,179404
98458,1975-06-20 05:00:00,Santiago,Profesional - Licenciatura,331890
98459,1961-11-14 05:00:00,Santiago,Tecnico - Preparatoria - T. Profesional,269569
98460,1984-10-30 05:00:00,Santiago,Profesional - Licenciatura,245304
98461,1989-04-11 05:00:00,Santiago,Profesional - Licenciatura,299870
98462,1978-12-30 05:00:00,Santiago,Bachillerato - Secundaria,93253
98463,1973-08-26 05:00:00,Santiago,Profesional - Licenciatura,115607
98465,1970-03-23 05:00:00,Santiago,Profesional - Licenciatura,206553
98466,1989-05-26 05:00:00,Santiago,Profesional - Licenciatura,143344
98468,1994-06-04 05:00:00,Santiago,Tecnico Universitario,189049
98470,1984-04-17 05:00:00,Santiago,Profesional - Licenciatura,340913
98472,1976-07-28 05:00:00,Santiago,Maestria,74650
98473,1991-02-03 05:00:00,Santiago,Profesional - Licenciatura,101965
98474,1986-10-07 05:00:00,Santiago,Profesional - Licenciatura,79195
98475,1979-11-28 05:00:00,Santiago,Tecnico - Preparatoria - T. Profesional,152921
98476,1988-10-04 05:00:00,Santiago,Profesional - Licenciatura,142417
98477,1982-01-01 05:00:00,Santiago,Tecnico - Preparatoria - T. Profesional,100570
98478,1990-10-29 05:00:00,Santiago,Profesional - Licenciatura,263203
98479,1985-05-04 05:00:00,Santiago,Maestria,99147
98480,1985-10-29 05:00:00,Santiago,Profesional - Licenciatura,265695
98481,1974-03-18 05:00:00,Santiago,Especializacion - Postgrado,173643
98483,1992-06-17 05:00:00,Santiago,Bachillerato - Secundaria,261064
98484,1987-07-22 05:00:00,Santiago,Profesional - Licenciatura,274024
98486,1978-09-29 05:00:00,Santiago,Profesional - Licenciatura,154838
98488,1979-04-04 05:00:00,Santiago,Especializacion - Postgrado,284650
98489,1983-11-18 05:00:00,Santiago,Especializacion - Postgrado,121990
98491,1979-11-02 05:00:00,Santiago,Profesional - Licenciatura,245700
98492,1987-10-03 05:00:00,Santiago,Especializacion - Postgrado,85248
98495,1976-10-30 05:00:00,Santiago,Profesional - Licenciatura,315838
98497,1985-04-17 05:00:00,Santiago,Profesional - Licenciatura,187173
98498,1983-07-25 05:00:00,Santiago,Profesional - Licenciatura,136451
98499,1978-02-16 05:00:00,Santiago,Tecnico Universitario,243274
98501,1983-04-23 05:00:00,Santiago,Tecnico - Preparatoria - T. Profesional,326710
98502,1979-01-17 05:00:00,Santiago,Tecnico - Preparatoria - T. Profesional,183248
98504,1980-03-09 05:00:00,Santiago,Tecnico - Preparatoria - T. Profesional,268836
98505,1986-08-02 05:00:00,Santiago,Profesional - Licenciatura,136716
98506,1974-08-05 05:00:00,Santiago,Tecnico - Preparatoria - T. Profesional,316614
98507,1985-09-16 05:00:00,Santiago,Profesional - Licenciatura,203618
98508,1990-12-18 05:00:00,Santiago,Profesional - Licenciatura,193195
98509,1976-06-25 05:00:00,Santiago,Profesional - Licenciatura,203687
98510,1984-11-08 05:00:00,Santiago,Profesional - Licenciatura,290825
98511,1985-04-07 05:00:00,Santiago,Profesional - Licenciatura,331296
98513,1993-07-22 05:00:00,Santiago,Especializacion - Postgrado,188083
98515,1975-02-19 05:00:00,Santiago,Tecnico Universitario,142988
98516,1991-09-16 05:00:00,Santiago,Profesional - Licenciatura,197939
98517,1995-05-01 05:00:00,Santiago,Profesional - Licenciatura,81140
98518,1980-10-17 05:00:00,Santiago,Tecnico - Preparatoria - T. Profesional,196753
98519,1984-04-10 05:00:00,Santiago,Tecnico - Preparatoria - T. Profesional,216897
98520,1987-09-11 05:00:00,Santiago,Profesional - Licenciatura,302973
98521,1980-12-24 05:00:00,Santiago,Tecnico - Preparatoria - T. Profesional,312366
98522,1993-04-27 05:00:00,Santiago,Profesional - Licenciatura,140404
98525,1982-01-22 05:00:00,Santiago,Profesional - Licenciatura,87873
98526,1991-07-16 05:00:00,Santiago,Profesional - Licenciatura,267000
98527,1966-10-20 05:00:00,Santiago,Profesional - Licenciatura,74053
98528,1979-09-16 05:00:00,Santiago,Profesional - Licenciatura,181135
98529,1992-03-09 05:00:00,Santiago,Profesional - Licenciatura,347424
98530,1981-09-30 05:00:00,Santiago,Tecnico - Preparatoria - T. Profesional,228376
98531,1984-01-13 05:00:00,Santiago,Especializacion - Postgrado,197910
98533,1979-12-24 05:00:00,Santiago,Profesional - Licenciatura,93061
98534,1974-09-07 05:00:00,Santiago,Tecnico Universitario,132713
98535,1991-08-24 05:00:00,Santiago,Tecnico - Preparatoria - T. Profesional,87527
98536,1988-04-29 05:00:00,Santiago,Profesional - Licenciatura,303202
98537,1974-10-26 05:00:00,Santiago,Especializacion - Postgrado,112539
98539,1980-05-28 05:00:00,Santiago,Profesional - Licenciatura,301221
98540,1994-02-11 05:00:00,Santiago,Profesional - Licenciatura,168630
98541,1983-06-05 05:00:00,Santiago,Profesional - Licenciatura,155053
98542,1979-12-14 05:00:00,Santiago,Tecnico Universitario,90131
98543,1971-11-07 05:00:00,Santiago,Maestria,82842
98544,1980-04-02 05:00:00,Santiago,Tecnico - Preparatoria - T. Profesional,341127
98545,1979-11-23 05:00:00,Santiago,Tecnico Universitario,179260
98548,1987-11-07 05:00:00,Santiago,Tecnico - Preparatoria - T. Profesional,90159
98549,1986-08-18 05:00:00,Santiago,Profesional - Licenciatura,143894
98550,1987-09-11 05:00:00,Santiago,Tecnico Universitario,264837
98551,1967-04-23 05:00:00,Santiago,Especializacion - Postgrado,313288
98552,1987-07-28 05:00:00,Santiago,Especializacion - Postgrado,221993
98553,1978-12-13 05:00:00,Santiago,Bachillerato - Secundaria,261296
98556,1979-02-02 05:00:00,Santiago,Tecnico - Preparatoria - T. Profesional,344689
98557,1978-07-26 05:00:00,Santiago,Profesional - Licenciatura,72336
98558,1993-06-26 05:00:00,Santiago,Profesional - Licenciatura,305515
98559,1984-12-30 05:00:00,Santiago,Profesional - Licenciatura,234656
98560,1971-09-28 05:00:00,Santiago,Profesional - Licenciatura,317547
98561,1982-05-12 05:00:00,Santiago,Profesional - Licenciatura,314947
98562,1994-06-21 05:00:00,Santiago,Profesional - Licenciatura,234822
98563,1993-04-12 05:00:00,Santiago,Profesional - Licenciatura,163157
98565,1988-05-11 05:00:00,Santiago,Profesional - Licenciatura,118938
98566,1992-04-04 05:00:00,Santiago,Tecnico Universitario,130958
98567,1978-07-10 05:00:00,Santiago,Profesional - Licenciatura,288195
98568,1993-06-24 05:00:00,Santiago,Profesional - Licenciatura,294752
98569,1993-03-25 05:00:00,Santiago,Profesional - Licenciatura,342641
98570,1985-12-28 05:00:00,Santiago,Profesional - Licenciatura,255722
98571,1993-10-17 05:00:00,Santiago,Profesional - Licenciatura,91269
98572,1983-03-01 05:00:00,Santiago,Profesional - Licenciatura,167110
98575,1988-07-24 05:00:00,Santiago,Profesional - Licenciatura,115785
98576,1985-01-08 05:00:00,Santiago,Maestria,195371
98581,1988-10-15 05:00:00,Santiago,Profesional - Licenciatura,297574
98583,1980-05-14 05:00:00,Santiago,Especializacion - Postgrado,320997
98584,1980-05-12 05:00:00,Santiago,Tecnico Universitario,213771
98585,1973-05-01 05:00:00,Santiago,Tecnico - Preparatoria - T. Profesional,105873
98586,1992-05-27 05:00:00,Santiago,Especializacion - Postgrado,271238
98587,1993-11-04 05:00:00,Santiago,Profesional - Licenciatura,91857
98588,1972-09-29 05:00:00,Santiago,Tecnico Universitario,254523
98589,1986-10-29 05:00:00,Santiago,Especializacion - Postgrado,346742
98591,1988-09-11 05:00:00,Santiago,Maestria,85813
98592,1992-11-16 05:00:00,Santiago,Profesional - Licenciatura,320576
98594,1986-08-18 05:00:00,Santiago,Profesional - Licenciatura,170393
98595,1979-09-19 05:00:00,Santiago,Especializacion - Postgrado,298062
98596,1990-11-04 05:00:00,Santiago,Profesional - Licenciatura,165582
98597,1987-11-20 05:00:00,Santiago,Profesional - Licenciatura,313044
98598,1973-07-05 05:00:00,Santiago,Profesional - Licenciatura,252072
98599,1986-12-02 05:00:00,Santiago,Especializacion - Postgrado,284245
98601,1987-02-24 05:00:00,Santiago,Maestria,244522
98602,1989-12-15 05:00:00,Santiago,Profesional - Licenciatura,316861
98603,1993-07-25 05:00:00,Santiago,Tecnico Universitario,332629
98604,1989-11-02 05:00:00,Santiago,Profesional - Licenciatura,208119
98605,1993-11-14 05:00:00,Santiago,Profesional - Licenciatura,254824
98607,1987-10-15 05:00:00,Santiago,Profesional - Licenciatura,68832
98609,1976-10-05 05:00:00,Santiago,Profesional - Licenciatura,71984
98610,1989-12-18 05:00:00,Santiago,Tecnico - Preparatoria - T. Profesional,174803
98611,1973-09-19 05:00:00,Santiago,Profesional - Licenciatura,195795
98612,1959-12-22 05:00:00,Santiago,Profesional - Licenciatura,207158
98613,1980-07-06 05:00:00,Santiago,Profesional - Licenciatura,113019
98614,1985-10-24 05:00:00,Santiago,Profesional - Licenciatura,337935
98615,2020-09-29 05:00:00,Santiago,Profesional - Licenciatura,70379
98616,1978-04-22 05:00:00,Santiago,Primaria,78091
98618,1988-07-30 05:00:00,Santiago,Profesional - Licenciatura,295901
98619,1988-09-05 05:00:00,Santiago,Profesional - Licenciatura,332427
98622,1977-03-19 05:00:00,Santiago,Profesional - Licenciatura,315340
98625,1978-02-23 05:00:00,Santiago,Profesional - Licenciatura,126081
98628,1964-09-30 05:00:00,Santiago,Tecnico - Preparatoria - T. Profesional,278985
98629,1982-10-16 05:00:00,Santiago,Profesional - Licenciatura,253750
98630,1991-05-03 05:00:00,Santiago,Profesional - Licenciatura,179056
98632,1981-02-14 05:00:00,Santiago,Tecnico - Preparatoria - T. Profesional,287976
98633,1966-06-02 05:00:00,Santiago,Especializacion - Postgrado,262944
98636,1988-10-15 05:00:00,Santiago,Tecnico Universitario,251179
98638,1976-10-22 05:00:00,Santiago,Profesional - Licenciatura,114638
98639,1985-05-10 05:00:00,Santiago,Profesional - Licenciatura,131402
98640,1990-10-20 05:00:00,Santiago,Profesional - Licenciatura,98915
98641,1977-03-31 05:00:00,Santiago,Profesional - Licenciatura,118052
98642,1973-12-13 05:00:00,Santiago,Especializacion - Postgrado,189267
98644,1986-03-20 05:00:00,Santiago,Profesional - Licenciatura,327880
98645,1988-10-25 05:00:00,Santiago,Profesional - Licenciatura,255691
98647,1987-01-28 05:00:00,Santiago,Profesional - Licenciatura,242004
98651,1987-10-21 05:00:00,Santiago,Profesional - Licenciatura,78378
98652,1976-04-24 05:00:00,Santiago,Tecnico Universitario,293442
98654,1976-08-27 05:00:00,Santiago,Profesional - Licenciatura,156035
98659,1985-07-10 05:00:00,Santiago,Profesional - Licenciatura,337353
98660,1969-11-04 05:00:00,Santiago,Profesional - Licenciatura,278782
98661,1967-01-13 05:00:00,Santiago,Tecnico Universitario,222788
98662,1991-03-17 05:00:00,Santiago,Profesional - Licenciatura,75964
98663,1987-09-08 05:00:00,Santiago,Profesional - Licenciatura,204014
98664,1994-11-14 05:00:00,Santiago,Profesional - Licenciatura,286816
98665,1988-08-21 05:00:00,Santiago,Profesional - Licenciatura,235168
98666,1976-02-12 05:00:00,Santiago,Primaria,296308
98668,1991-08-21 05:00:00,Santiago,Profesional - Licenciatura,261521
98669,2020-10-23 05:00:00,Santiago,Tecnico - Preparatoria - T. Profesional,346525
98670,1979-11-02 05:00:00,Santiago,Profesional - Licenciatura,318440
98671,1981-03-06 05:00:00,Santiago,Profesional - Licenciatura,301573
98672,1988-12-16 05:00:00,Santiago,Maestria,209520
98676,1973-03-23 05:00:00,Santiago,Tecnico Universitario,265347
98679,1987-04-04 05:00:00,Santiago,Profesional - Licenciatura,325735
98680,1987-08-25 05:00:00,Santiago,Profesional - Licenciatura,100299
98681,1976-06-22 05:00:00,Santiago,Tecnico Universitario,179056
98682,1989-11-11 05:00:00,Santiago,Profesional - Licenciatura,77554
98683,1978-09-04 05:00:00,Santiago,Tecnico Universitario,339871
98684,1971-07-18 05:00:00,Santiago,Profesional - Licenciatura,312892
98685,1985-09-16 05:00:00,Santiago,Especializacion - Postgrado,166118
98686,1988-06-23 05:00:00,Santiago,Profesional - Licenciatura,332769
98687,1981-02-03 05:00:00,Santiago,Tecnico Universitario,81631
98689,1992-01-24 05:00:00,Santiago,Especializacion - Postgrado,101159
98690,1978-06-29 05:00:00,Santiago,Especializacion - Postgrado,167895
98692,1986-11-02 05:00:00,Santiago,Profesional - Licenciatura,172955
98693,1996-02-16 05:00:00,Santiago,Bachillerato - Secundaria,149791
98694,1978-04-12 05:00:00,Santiago,Tecnico - Preparatoria - T. Profesional,302796
98695,1991-11-19 05:00:00,Santiago,Maestria,115870
98696,1989-09-12 05:00:00,Santiago,Profesional - Licenciatura,160486
98697,1992-07-08 05:00:00,Santiago,Profesional - Licenciatura,299497
98698,1984-07-12 05:00:00,Santiago,Tecnico Universitario,344459
98699,1984-04-13 05:00:00,Santiago,Profesional - Licenciatura,208694
98700,1977-02-22 05:00:00,Santiago,Tecnico - Preparatoria - T. Profesional,122688
98701,1982-07-14 05:00:00,Santiago,Profesional - Licenciatura,112184
98702,1970-10-18 05:00:00,Santiago,Profesional - Licenciatura,308164
98704,1983-02-08 05:00:00,Santiago,Tecnico - Preparatoria - T. Profesional,304487
98707,1992-01-31 05:00:00,Santiago,Profesional - Licenciatura,140641
98709,1989-01-30 05:00:00,Santiago,Tecnico - Preparatoria - T. Profesional,270013
98710,1968-07-09 05:00:00,Santiago,Tecnico Universitario,156692
98711,1884-03-10 05:00:00,Santiago,Profesional - Licenciatura,112854
98712,1975-11-15 05:00:00,Santiago,Tecnico - Preparatoria - T. Profesional,80542
98713,1980-12-01 05:00:00,Santiago,Especializacion - Postgrado,106106
98714,1980-08-09 05:00:00,Santiago,Tecnico Universitario,240633
98715,1971-06-15 05:00:00,Santiago,Profesional - Licenciatura,151989
98716,1994-11-08 05:00:00,Santiago,Profesional - Licenciatura,188520
98717,1982-03-16 05:00:00,Santiago,Profesional - Licenciatura,140126
98718,1991-07-22 05:00:00,Santiago,Profesional - Licenciatura,175936
98721,1991-02-02 05:00:00,Santiago,Profesional - Licenciatura,129192
98722,1974-02-06 05:00:00,Santiago,Profesional - Licenciatura,306866
98724,1988-09-01 05:00:00,Santiago,Profesional - Licenciatura,187731
98725,1988-04-27 05:00:00,Santiago,Profesional - Licenciatura,144307
98727,1995-04-06 05:00:00,Santiago,Profesional - Licenciatura,275029
98728,1994-01-07 05:00:00,Santiago,Bachillerato - Secundaria,276286
98730,1988-07-29 05:00:00,Santiago,Tecnico - Preparatoria - T. Profesional,264307
98731,1991-11-10 05:00:00,Santiago,Profesional - Licenciatura,179566
98732,1978-10-13 05:00:00,Santiago,Especializacion - Postgrado,320414
98733,1986-05-08 05:00:00,Santiago,Especializacion - Postgrado,324724
98734,1986-08-09 05:00:00,Santiago,Profesional - Licenciatura,96900
98735,1978-08-16 05:00:00,Santiago,Profesional - Licenciatura,135733
98737,1982-10-28 05:00:00,Santiago,Profesional - Licenciatura,129639
98739,1979-05-18 05:00:00,Santiago,Tecnico Universitario,216356
98740,1983-10-08 05:00:00,Santiago,Profesional - Licenciatura,201222
98742,1972-11-12 05:00:00,Santiago,Tecnico - Preparatoria - T. Profesional,120633
98743,1990-12-03 05:00:00,Santiago,Tecnico Universitario,107578
98744,1981-11-15 05:00:00,Santiago,Especializacion - Postgrado,186152
98745,1970-06-21 05:00:00,Santiago,Tecnico Universitario,304147
98746,1990-09-14 05:00:00,Santiago,Profesional - Licenciatura,124898
98748,1990-02-03 05:00:00,Santiago,Profesional - Licenciatura,271154
98749,1978-11-23 05:00:00,Santiago,Maestria,196777
98750,1978-07-29 05:00:00,Santiago,Profesional - Licenciatura,319988
98751,1989-12-27 05:00:00,Santiago,Profesional - Licenciatura,274938
98752,1985-12-27 05:00:00,Santiago,Profesional - Licenciatura,184601
98753,1979-12-14 05:00:00,Santiago,Profesional - Licenciatura,123213
98756,1972-02-08 05:00:00,Santiago,Especializacion - Postgrado,124440
98757,1991-02-14 05:00:00,Santiago,Profesional - Licenciatura,325936
98759,1979-07-13 05:00:00,Santiago,Profesional - Licenciatura,287509
98760,1986-05-09 05:00:00,Santiago,Profesional - Licenciatura,203608
98761,1978-04-21 05:00:00,Santiago,Profesional - Licenciatura,107202
98762,1980-11-16 05:00:00,Santiago,Tecnico Universitario,223844
